0 0 29 29 1e-05 0.0001 1 306 12
0 0 29 29 1e-05 0.001 1 306 12
0 0 29 29 1e-05 0.001 1 306 12
0 0 29 29 1e-05 0.0001 1 306 14
0 0 29 29 1e-05 0.001 1 306 14
0 0 29 29 1e-05 0.001 1 306 14
0 0 29 29 1e-05 0.0001 1 306 13
0 0 29 29 1e-05 0.001 1 306 13
0 0 29 29 1e-05 0.001 1 306 13
0 0 29 29 1e-05 0.1 1 306 12
0 0 29 29 1e-05 1 1 306 12
0 0 29 29 1e-05 10 1 306 12
0 0 29 29 1e-05 0.1 1 306 14
0 0 29 29 1e-05 1 1 306 14
0 0 29 29 1e-05 10 1 306 14
0 0 29 29 1e-05 0.1 1 306 13
0 0 29 29 1e-05 1 1 306 13
0 0 29 29 1e-05 10 1 306 13
1 0 29 29 1e-05 0 1 306 12
6 0 29 29 1e-05 0 1 306 12
12 0 29 29 1e-05 0 1 306 12
1 0 29 29 1e-05 0 1 306 14
6 0 29 29 1e-05 0 1 306 14
12 0 29 29 1e-05 0 1 306 14
1 0 29 29 1e-05 0 1 306 13
6 0 29 29 1e-05 0 1 306 13
12 0 29 29 1e-05 0 1 306 13
6 0 29 29 1e-05 0.1 1 306 12
6 0 29 29 1e-05 0.1 1 306 12
6 0 29 29 1e-05 0.1 1 306 12
6 0 29 29 1e-05 0.1 1 306 14
6 0 29 29 1e-05 0.1 1 306 14
6 0 29 29 1e-05 0.1 1 306 14
6 0 29 29 1e-05 0.1 1 306 13
6 0 29 29 1e-05 0.1 1 306 13
6 0 29 29 1e-05 0.1 1 306 13
1 0 29 29 1e-05 0.1 1 306 12
6 0 29 29 1e-05 1 1 306 12
12 0 29 29 1e-05 10 1 306 12
1 0 29 29 1e-05 0.1 1 306 14
6 0 29 29 1e-05 1 1 306 14
12 0 29 29 1e-05 10 1 306 14
1 0 29 29 1e-05 0.1 1 306 13
6 0 29 29 1e-05 1 1 306 13
12 0 29 29 1e-05 10 1 306 13
